restaurantRating,restaurantName,restaurantAddress,restaurantCuisine,restaurantContact,restaurantBusinessHours,restaurantPricing,isHalal
4.4,Janxden Greenlife,"205, Jalan Hutton, 10050 George Town, Pulau Pinang",Chinese ,012-434 3213,"{'Friday': '8:30 am to 9:30 pm', 'Saturday': '8:30 am to 9:30 pm', 'Sunday': '8:30 am to 9:30 pm', 'Monday': '8:30 am to 9:30 pm', 'Tuesday': '8:30 am to 9:30 pm', 'Wednesday': 'Closed', 'Thursday': '8:30 am to 9:30 pm'}",2,No
4,Nam Prik Thai Restaurant,"6G-2-16, All Seasons Place, Lbh Thean Teik, Bandar Baru Air Itam, 11500 Ayer Itam, Pulau Pinang",Thai ,018-779 0799,"{'Friday': '11:30 am to 2:30 pm, 6 to 9:30 pm', 'Saturday': '11:30 am to 2:30 pm, 6 to 9:30 pm', 'Sunday': '11:30 am to 2:30 pm, 6 to 9:30 pm', 'Monday': '11:30 am to 2:30 pm, 6 to 9:30 pm', 'Tuesday': '11:30 am to 2:30 pm, 6 to 9:30 pm', 'Wednesday': '11:30 am to 2:30 pm, 6 to 9:30 pm', 'Thursday': '11:30 am to 2:30 pm, 6 to 9:30 pm'}",2,No
4.2,Cherry Blossom Thai Restaurant,"29-1-51, The Golden Triangle, Jln Paya Terubung, Relau, 11900 Bayan Lepas, Penang",Thai ,016-426 1626,"{'Friday': '11:30 am to 3 pm, 5:30 to 10 pm', 'Saturday': '11:30 am to 3 pm, 5:30 to 10 pm', 'Sunday': '11:30 am to 3 pm, 5:30 to 10 pm', 'Monday': '11:30 am to 3 pm, 5:30 to 10 pm', 'Tuesday': 'Closed', 'Wednesday': '11:30 am to 3 pm, 5:30 to 10 pm', 'Thursday': '11:30 am to 3 pm, 5:30 to 10 pm'}",2,No
3.9,Thai Tuk Tuk Restaurant Gelugor,"Penang, Gelugor, Sungai Dua, 723-Q-G, Vanda Business ParkJalan",Thai ,016-765 3339,"{'Friday': '11 am to 11:30 pm', 'Saturday': '11 am to 11:30 pm', 'Sunday': '11 am to 11:30 pm', 'Monday': '11 am to 11:30 pm', 'Tuesday': '11 am to 11:30 pm', 'Wednesday': 'Closed', 'Thursday': '11 am to 11:30 pm'}",2,No
3.9,WhatSaeb - The One Mahsuri,"The One, 2-1-25 Tingkat Mahsuri, Jalan Mahsuri, Bayan Baru, 11900 Bayan Lepas, Pulau Pinang",Thai ,016-755 5178,"{'Friday': '11:30 am to 9:30 pm', 'Saturday': '11:30 am to 9:30 pm', 'Sunday': '11:30 am to 9:30 pm', 'Monday': '11:30 am to 9:30 pm', 'Tuesday': '11:30 am to 9:30 pm', 'Wednesday': '11:30 am to 9:30 pm', 'Thursday': '11:30 am to 9:30 pm'}",2,No
3.5,Mama Thai Best,"350, Jln Perak, Jelutong, 11600 George Town, Penang",Thai ,011-5588 2126,"{'Friday': '12 pm to 12 am', 'Saturday': '12 pm to 12 am', 'Sunday': '12 pm to 12 am', 'Monday': 'Closed', 'Tuesday': '12 pm to 12 am', 'Wednesday': '12 pm to 12 am', 'Thursday': '12 pm to 12 am'}",1,No
4.8,The Secret Tunnel,"60, Lebuhraya Gelugor, Jelutong, 11600 George Town, Pulau Pinang",Thai ,017-636 2639,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': 'Closed', 'Thursday': '11 am to 10 pm'}",2,No
3.8,Boat Noodle - Queensbay Mall,"Queensbay Mall, 3F-19B, 100, Persiaran Bayan Indah, 11900 Bayan Lepas, Pulau Pinang",Thai ,011-2601 9755,"{'Friday': '10:30 am to 10 pm', 'Saturday': '10:30 am to 10 pm', 'Sunday': '10:30 am to 10 pm', 'Monday': '10:30 am to 10 pm', 'Tuesday': '10:30 am to 10 pm', 'Wednesday': '10:30 am to 10 pm', 'Thursday': '10:30 am to 10 pm'}",2,Yes
4,Chang Thai Restaurant,"6G-2-10, All Seasons Place, Thean Tek Hwy, 11500 George Town, Penang",Thai ,010-382 6110,"{'Friday': '11 am to 3 pm, 6 to 10 pm', 'Saturday': '11 am to 3 pm, 6 to 10 pm', 'Sunday': '11 am to 3 pm, 6 to 10 pm', 'Monday': '11 am to 3 pm, 6 to 10 pm', 'Tuesday': '11 am to 3 pm, 6 to 10 pm', 'Wednesday': '11 am to 3 pm, 6 to 10 pm', 'Thursday': '11 am to 3 pm, 6 to 10 pm'}",2,No
4.2,Thai Shop,"4, Jalan Siam, George Town, 10400 George Town, Pulau Pinang",Thai ,012-741 1868,"{'Friday': '11:45 am to 2:45 pm, 5:30 to 9:30 pm', 'Saturday': '11:45 am to 2:45 pm, 5:30 to 9:30 pm', 'Sunday': '11:45 am to 2:45 pm, 5:30 to 9:30 pm', 'Monday': 'Closed', 'Tuesday': '11:45 am to 2:45 pm, 5:30 to 9:30 pm', 'Wednesday': '11:45 am to 2:45 pm, 5:30 to 9:30 pm', 'Thursday': '11:45 am to 2:45 pm, 5:30 to 9:30 pm'}",2,No
